f_id,a_id
1,1000
1,2000
3,1000
5,3000
6,3000
7,4000
9,1000
9,5000
9,2000
9,6000
10,3000
11,1000
15,1000
16,4000
19,1000
20,5000
20,1000
22,1000
23,4000
24,4000
25,3000
26,1000
26,5000
27,3000
28,3000
29,1000
32,5000
32,1000
32,2000
33,4000
34,5000
34,1000
34,2000
37,5000
37,1000
38,4000
42,4000
43,1000
43,2000
43,6000
43,5000
43,3000
45,4000
